"","sqID","bins","funcnovel","ID"
"1","G10021 Q4",1991,TRUE,"G10021 Q4 1991"
"2","G10078 Q4",1996,TRUE,"G10078 Q4 1996"
"3","G10082 Q4",1991,TRUE,"G10082 Q4 1991"
"4","G10109 Q3",2010,TRUE,"G10109 Q3 2010"
"5","G10164 Q4",2015,TRUE,"G10164 Q4 2015"
"6","G10173 Q3",2014,TRUE,"G10173 Q3 2014"
"7","G1029 Q3",2010,TRUE,"G1029 Q3 2010"
"8","G1030 Q3",2000,TRUE,"G1030 Q3 2000"
"9","G10300 Q3",2010,TRUE,"G10300 Q3 2010"
"10","G10328 Q3",2013,TRUE,"G10328 Q3 2013"
"11","G1042 Q3",2012,TRUE,"G1042 Q3 2012"
"12","G10444 Q3",2004,TRUE,"G10444 Q3 2004"
"13","G1055 Q3",2011,TRUE,"G1055 Q3 2011"
"14","G10556 Q3",2006,TRUE,"G10556 Q3 2006"
"15","G1062 Q3",2014,TRUE,"G1062 Q3 2014"
"16","G10741 Q3",1997,TRUE,"G10741 Q3 1997"
"17","G10846 Q3",1997,TRUE,"G10846 Q3 1997"
"18","G10887 Q3",2013,TRUE,"G10887 Q3 2013"
"19","G10926 Q3",2003,TRUE,"G10926 Q3 2003"
"20","G10947 Q3",2013,TRUE,"G10947 Q3 2013"
"21","G10952 Q3",2004,TRUE,"G10952 Q3 2004"
"22","G10958 Q3",2003,TRUE,"G10958 Q3 2003"
"23","G10965 Q3",1991,TRUE,"G10965 Q3 1991"
"24","G10967 Q4",1996,TRUE,"G10967 Q4 1996"
"25","G10991 Q3",1999,TRUE,"G10991 Q3 1999"
"26","G11144 Q3",2018,TRUE,"G11144 Q3 2018"
"27","G11212 Q3",1997,TRUE,"G11212 Q3 1997"
"28","G11213 Q3",2014,TRUE,"G11213 Q3 2014"
"29","G11464 Q4",1991,TRUE,"G11464 Q4 1991"
"30","G11497 Q4",2004,TRUE,"G11497 Q4 2004"
"31","G11532 Q3",2016,TRUE,"G11532 Q3 2016"
"32","G11577 Q3",2015,TRUE,"G11577 Q3 2015"
"33","G12163 Q4",2007,TRUE,"G12163 Q4 2007"
"34","G12178 Q4",2013,TRUE,"G12178 Q4 2013"
"35","G12786 Q4",2015,TRUE,"G12786 Q4 2015"
"36","G210 Q4",2009,TRUE,"G210 Q4 2009"
"37","G217 Q4",2011,TRUE,"G217 Q4 2011"
"38","G217 Q2",2011,TRUE,"G217 Q2 2011"
"39","G2397 Q4",2008,TRUE,"G2397 Q4 2008"
"40","G257 Q2",2011,TRUE,"G257 Q2 2011"
"41","G5594 Q2",2010,TRUE,"G5594 Q2 2010"
"42","G646 Q3",2014,TRUE,"G646 Q3 2014"
"43","G7290 Q3",2008,TRUE,"G7290 Q3 2008"
"44","G7342 Q4",2008,TRUE,"G7342 Q4 2008"
"45","G7355 Q4",1999,TRUE,"G7355 Q4 1999"
"46","G7357 Q4",1994,TRUE,"G7357 Q4 1994"
"47","G7519 Q4",2002,TRUE,"G7519 Q4 2002"
"48","G7563 Q4",1999,TRUE,"G7563 Q4 1999"
"49","G7602 Q3",1996,TRUE,"G7602 Q3 1996"
"50","G7612 Q2",2011,TRUE,"G7612 Q2 2011"
"51","G7641 Q4",2003,TRUE,"G7641 Q4 2003"
"52","G7643 Q4",2008,TRUE,"G7643 Q4 2008"
"53","G7648 Q2",2008,TRUE,"G7648 Q2 2008"
"54","G7651 Q2",2010,TRUE,"G7651 Q2 2010"
"55","G7913 Q4",2013,TRUE,"G7913 Q4 2013"
"56","G7934 Q2",2002,TRUE,"G7934 Q2 2002"
"57","G7935 Q2",1997,TRUE,"G7935 Q2 1997"
"58","G8128 Q4",2008,TRUE,"G8128 Q4 2008"
"59","G8143 Q4",2013,TRUE,"G8143 Q4 2013"
"60","G8241 Q4",2004,TRUE,"G8241 Q4 2004"
"61","G8248 Q4",2005,TRUE,"G8248 Q4 2005"
"62","G8250 Q4",2005,TRUE,"G8250 Q4 2005"
"63","G8293 Q3",2010,TRUE,"G8293 Q3 2010"
"64","G8317 Q2",2014,TRUE,"G8317 Q2 2014"
"65","G8425 Q2",2008,TRUE,"G8425 Q2 2008"
"66","G8434 Q4",2008,TRUE,"G8434 Q4 2008"
"67","G8449 Q2",2004,TRUE,"G8449 Q2 2004"
"68","G8507 Q4",2008,TRUE,"G8507 Q4 2008"
"69","G8510 Q4",2004,TRUE,"G8510 Q4 2004"
"70","G8578 Q4",2014,TRUE,"G8578 Q4 2014"
"71","G9014 Q3",2015,TRUE,"G9014 Q3 2015"
"72","G9529 Q3",2013,TRUE,"G9529 Q3 2013"
"73","G9569 Q3",1999,TRUE,"G9569 Q3 1999"
"74","G9677 Q3",2002,TRUE,"G9677 Q3 2002"
"75","G9828 Q3",2007,TRUE,"G9828 Q3 2007"
"76","G9887 Q3",2001,TRUE,"G9887 Q3 2001"
