"","Species"
"1","Chaetostoma fischeri"
"2","Chaetostoma eucomelas"
"3","Chaetostoma thomsoni"
"4","Cyphocharax modestus"
"5","Cyphocharax naegelii"
"6","Hypostomus albopunctatus"
"7","Hypostomus cochliodon"
"8","Hypostomus microstomus"
"9","Hypostomus regani"
"10","Hypostomus strigaticeps"
"11","Hypostomus ternetzi"
"12","Labeo roseopunctatus"
"13","Labeo senegalensis"
"14","Lasiancistrus caucanus"
"15","Myloplus tiete"
"16","Pterygoplichthys ambrosettii"
"17","Rhinelepis aspera"
"18","Steindachnerina brevipinna"
"19","Campostoma pauciradii"
"20","Hybognathus nuchalis"
"21","Hybognathus placitus"
"22","Hypostomus commersoni"
"23","Megalancistrus parananus"
