"","MBl","BEl","VEp","REs","OGp","RMl","BLs","PFv","PFs","CPt","troph_level"
"MBl",1,0.200009520261995,-0.104499155975586,-0.396366553309844,-0.0378738561731204,0.275094042632587,-0.241412055302382,-0.122437950437621,-0.28367430063773,0.0568614919002093,0.315738693947807
"BEl",0.200009520261995,1,0.206212337493764,0.0349505936016935,-0.158183788253102,0.358334693347042,0.319956666519765,0.169709169167126,-0.442659796131103,-0.18950909680336,0.221102703227833
"VEp",-0.104499155975586,0.206212337493764,1,-0.140782601550171,0.33536330539565,0.105151405382052,0.494069437696404,0.341018389307461,0.126850857055087,-0.119280410436034,0.159145782851651
"REs",-0.396366553309844,0.0349505936016935,-0.140782601550171,1,0.261824360932968,0.0412521756116819,0.0210532438315613,0.142521409868335,-0.0162580723102806,0.10690128943933,-0.122662724633743
"OGp",-0.0378738561731204,-0.158183788253102,0.33536330539565,0.261824360932968,1,0.229320761736198,-0.170255643329239,0.346984787875034,-0.126938858859569,-0.0469506298388428,0.199464210520369
"RMl",0.275094042632587,0.358334693347042,0.105151405382052,0.0412521756116819,0.229320761736198,1,0.0276447680550942,0.0754699353610303,-0.271270732088376,-0.0450633423209149,0.40749433448918
"BLs",-0.241412055302382,0.319956666519765,0.494069437696404,0.0210532438315613,-0.170255643329239,0.0276447680550942,1,0.121415860528897,0.208205012784217,-0.0547970912589304,0.0462959390136534
"PFv",-0.122437950437621,0.169709169167126,0.341018389307461,0.142521409868335,0.346984787875034,0.0754699353610303,0.121415860528897,1,0.154195210608194,-0.212456574170524,0.179855201681849
"PFs",-0.28367430063773,-0.442659796131103,0.126850857055087,-0.0162580723102806,-0.126938858859569,-0.271270732088376,0.208205012784217,0.154195210608194,1,0.0614963354132446,-0.223351485907985
"CPt",0.0568614919002093,-0.18950909680336,-0.119280410436034,0.10690128943933,-0.0469506298388428,-0.0450633423209149,-0.0547970912589304,-0.212456574170524,0.0614963354132446,1,-0.0357787989897763
"troph_level",0.315738693947807,0.221102703227833,0.159145782851651,-0.122662724633743,0.199464210520369,0.40749433448918,0.0462959390136534,0.179855201681849,-0.223351485907985,-0.0357787989897763,1
